英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Joinus Freight Systems HK
Ltd,",,2016/3/21;2018/9/4;2020/12/23,.,.,,港企,EL
Skylinks FZC,,2016/3/21;2020/12/23,.,.,,港企,EL
Chen Qu,,2016/3/21;2019/8/14,.,.,,个人,EL
Edward Fan,,2016/3/21;2019/8/14,.,.,,个人,EL
Gala Wang,,21/03/2016,.,.,,个人,EL
Sharon Yang,,2016/3/21;2019/8/14,.,.,,个人,EL
TanWei,,2016/3/21;2019/8/14,.,.,,个人,EL
Foang Tech Inc.,,2016/6/21;2020/12/23,.,.,,港企,EL
Panda Semiconductor,,2016/6/21;2020/12/23,.,.,,港企,EL
Well Smart (HK) Technology,,2016/6/21;2020/12/23,.,.,,港企,EL
"Wise Smart (HK) Electronics
Limited",,2016/6/21;2020/12/23,.,.,,港企,EL
INFINITY WISE TECHNOLOGY LIMITED,,2016/6/21;2020/12/23,.,.,,港企,EL
Giovan Ltd,,2016/9/7;2020/12/23,.,.,,港企,EL
Technopole Ltd.,,2016/9/7;2020/12/23,.,.,,港企,EL
Shi Lirong,,29/03/2017,.,.,,个人,EL
"Chengdu Spaceon
Technology Co., Ltd.,",成都天奥信息科技有限公司,26/01/2018,1,0,,内地企业,EL
"China Electronics Technology
Group Corporation 13th
Research Institute (CETC 13)","中国电子科技集团公司第十三研究所
（河北半导体研究所）",2018/8/1;2022/12/19,.,.,,研究所,EL
Hebei Bowei Integrated,河北博威集成电路有限公司,2018/8/1;2022/12/19,1,1,003031,内地企业,EL
Hebei Envoltek Electronics,河北英沃泰电子科技有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
"Hebei Brightway
International",河北兴业恒通国际贸易有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
"Hebei
Medicines Health",河北省医药保健品进出口集团公司,2018/8/1;2022/12/19,1,0,,内地企业,EL
"Hebei
Poshing Electronics",河北普兴电子科技股份有限公司,2018/8/1;2022/12/19,1,0,,内地企业,EL
"Hebei
Sinopack Electronics",河北中瓷电子科技股份有限公司,2018/8/1;2022/12/19,2,2,003031,内地企业,EL
MT Microsystems,河北美泰电子科技有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
"North
China Integrated Circuit
Corporation",河北新华北集成电路有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
"Shijiazhuang Development
Zone Maiteda
Microelectronics Technology
Development and Application",石家庄麦特达电子科技有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
Tonghui Electronics,同辉电子科技股份有限公司,2018/8/1;2022/12/19,0,0,,内地企业,EL
Anhui Sun-Create Electronics,四创电子股份有限公司,2018/8/1;2020/6/5,2,2,600990,内地企业,EL
"Anhui Bowei Chang An
Electronics",安徽博微长安电子有限公司,2018/8/1;2020/6/5,1,1,600990,内地企业,EL
ECU Electronic Industria,合肥华耀电子工业有限公司,2018/8/1;2020/6/5,1,1,600990,内地企业,EL
Hefei ECU–TAMURA Electric,合肥博微田村电气有限公司,2018/8/1;2020/6/5,1,0,,内地企业,EL
"Anhui Bowei Guangcheng
Information Technology",安徽博微广成信息科技有限公司,2018/8/1;2020/6/5,2,0,,内地企业,EL
Anhui Bowei Ruida Electronics Technology,芜湖博微瑞达电子科技有限公司,2018/8/1;2020/6/5,0,0,,内地企业,EL
Brainware Terahertz,博微太赫兹信息科技有限公司,2018/8/1;2020/6/5,0,0,,内地企业,EL
"China Aerospace Science
and Industry Corporation
Second Academy",中国航天科工集团有限公司第二研究院,01/08/2018,.,.,,研究所,EL
Second Design Department,中国航天科工集团有限公司第二研究院第二设计总部,01/08/2018,.,.,,研究所,EL
"Beijing Institute of Radio
Measurement",北京无线电测量研究所,01/08/2018,.,.,,研究所,EL
"Beijing Institute of Remote
Sensing Equipment",北京遥感设备研究所,01/08/2018,.,.,,研究所,EL
"Aerospace Science and Technology Defense
Technology Research and
Experimental Center",航天科技防御技术研究与实验中心,01/08/2018,.,.,,研究所,EL
"Beijing Radio Measurement
and Testing Institute;",北京无线电计量测试研究所,01/08/2018,.,.,,研究所,EL
